Frequency       Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	        (mJy_arcsec^{-2}) 

29901.48691632  -0.20013132 
29902.48712932  -0.21599632 
29903.48734332  -0.15296232 
29904.48755632  -0.08992832 
29905.48777032  -0.08345032 
29906.48798332  0.07125232 
29907.48819732  -0.08790232 
29908.48841032  -0.01557532 
29909.48862432  -0.05874332 
29910.48883732  -0.04028432 
29911.48709732  -0.35228832 
29912.48731132  -1.73585332 
29913.48752432  -1.85572232 
29914.48773832  -2.49539932 
29915.48795132  -1.39227332 
29916.48816532  -0.21790932 
29917.48837832  -0.07184432 
29918.48859232  -0.12207732 
29919.48880632  -0.09004232 
29920.48901932  -0.48273332 
29921.48923332  -0.37503532 
29922.48944632  -0.10257232 
29923.48966032  -0.13364832 
29924.48987332  -0.15681332 
29925.49008732  -0.16029932 
29926.48834732  -0.01420032 
29927.48856032  -0.16288932 
29928.48877432  -0.10314032 
29929.48898732  -0.01847932 
29930.48920132  -0.07484732 
29931.48941432  -0.11264732 
29932.48962832  -0.15044832 
29933.48984132  -0.11646932 
29934.49005532  -0.07881532 
29935.49026832  -0.09737432 
29936.49048232  -0.02223032 
29937.49069532  0.00615932 
29938.49090932  -0.13992332 
29939.49112332  -0.05698032 
29940.49133632  -0.09397932 
29941.48959632  0.03284932 
29942.48981032  -0.06132332 
29943.49002332  0.02377732 
29944.49023732  -0.01634632 
29945.49045032  -0.04385532 
29946.49066432  0.05964132 
29947.49087732  -0.02804732 
29948.49109132  0.04764832 
29949.49130432  0.06568632 
29950.49151832  0.00570332 
29951.49173132  -0.00103532 
29952.49194532  0.02994432 
29953.49215832  -0.02822832 
29954.49237232  0.07142532 
29955.49258532  -0.01361732 
29956.49084532  0.02483032 
29957.49105932  0.08055932 
29958.49127232  -0.06330032 
29959.49148632  0.00131532 
29960.49169932  0.00807632 
29961.49191332  -0.03226632 
29962.49212732  -0.01363132 
29963.49234032  -0.04295132 
29964.49255432  0.00498032 
29965.49276732  0.06447132 
29966.49298132  0.17379432 
29967.49319432  0.15212832 
29968.49340832  0.24499432 
29969.49362132  0.38270232 
29970.49383532  0.71478032 
29971.49209532  0.90769932 
29972.49230832  0.42419932 
29973.49252232  0.14862532 
29974.49273532  0.06681732 
29975.49294932  0.06254532 
29976.49316232  0.03500532 
29977.49337632  0.23699732 
29978.49358932  -0.02792832 
29979.49380332  0.03645432 
29980.49401632  0.18731832 
29981.49423032  0.07290832 
29982.49444432  0.10553432 
29983.49465732  0.08870532 
29984.49487132  -0.07054432 
29985.49508432  -0.22979432 
29986.49334432  0.03799332 
29987.49355832  0.01862832 
29988.49377132  0.01211132 
29989.49398532  -0.00983932 
29990.49419832  -0.05308232 
29991.49441232  0.04035932 
29992.49462532  0.00864032 
29993.49483932  -0.07945232 
29994.49505232  0.03120732 
29995.49526632  -0.00279632 
29996.49547932  0.04617032 
29997.49569332  0.00524732 
29998.49590632  -0.83349732 
29999.49612032  -7.43237632 
30000.49633332  -5.87894232 
30001.49459332  -9.72698232 
30002.49480732  -3.85787932 
30003.49502032  -0.07504432 
30004.49523432  -0.10918432 
30005.49544832  0.01092732 
30006.49566132  -0.30179332 
30007.49587532  -0.82948032 
30008.49608832  -0.52359832 
30009.49630232  0.08271332 
30010.49651532  0.00032632 
30011.49672932  -0.01746332 
30012.49694232  0.01625332 
30013.49715632  0.14757332 
30014.49736932  0.14582532 
30015.49758332  -0.00146232 
30016.49584332  0.05557132 
30017.49605632  0.04785432 
30018.49627032  0.02213332 
30019.49648332  0.18075332 
30020.49669732  0.04399832 
30021.49691032  0.05348132 
30022.49712432  -0.09976332 
30023.49733732  -0.00996732 
30024.49755132  0.02640032 
30025.49776532  0.02396232 
30026.49797832  -0.01110632 
30027.49819232  0.03553432 
30028.49840532  0.02532832 
30029.49861932  0.02453332 
30030.49883232  -0.00787632 
30031.49709232  -0.01750932 
30032.49730632  -0.02714232 
30033.49751932  -0.05053332 
30034.49773332  -0.04065832 
30035.49794632  -0.01295532 
30036.49816032  0.01296732 
30037.49837332  -0.08863032 
30038.49858732  -0.04684432 
30039.49880032  0.01264932 
30040.49901432  0.01057832 
30041.49922732  -0.05311932 
30042.49944132  0.02606232 
30043.49965432  0.02248432 
30044.49986832  -0.04811832 
30045.50008232  -0.05589432 
30046.49834232  -0.08485432 
30047.49855532  -0.03588832 
30048.49876932  -0.11312832 
30049.49898232  -0.12144832 
30050.49919632  -0.14901732 
30051.49940932  -0.04569332 
30052.49962332  -0.05806732 
30053.49983632  -0.11621032 
30054.50005032  -0.07886332 
30055.50026332  -0.10468732 
30056.50047732  -0.09289532 
30057.50069032  -0.10911532 
30058.50090432  -0.05761532 
30059.50111732  0.01646132 
30060.50133132  -0.09574632 
30061.49959132  -0.03766532 
30062.49980432  0.04497932 
30063.50001832  -0.04140432 
30064.50023132  -0.11597532 
30065.50044532  0.01612732 
30066.50065932  -0.03655832 
30067.50087232  0.01830432 
30068.50108632  -0.02084432 
30069.50129932  -0.00280032 
30070.50151332  0.10314932 
30071.50172632  0.01215832 
30072.50194032  0.04459632 
30073.50215332  0.06984132 
30074.50236732  -0.05780332 
30075.50258032  0.00091532 
30076.50084032  0.08358832 
30077.50105432  0.11800432 
30078.50126732  -0.12839532 
30079.50148132  0.00635332 
30080.50169432  -0.04431932 
30081.50190832  -0.06058132 
30082.50212132  0.02651832 
30083.50233532  0.08478432 
30084.50254832  0.06109932 
30085.50276232  0.11944032 
30086.50297532  0.09605132 
30087.50318932  0.02698132 
30088.50340332  0.13586432 
30089.50361632  0.07476032 
30090.50383032  0.04861432 
30091.50209032  0.01394332 
30092.50230332  -0.05118232 
30093.50251732  0.06771532 
30094.50273032  0.02137632 
30095.50294432  -0.05863032 
30096.50315732  0.13345932 
30097.50337132  0.01920132 
30098.50358432  0.00285932 
30099.50379832  -0.01498332 
30100.50401132  0.03394532 
30101.50422532  0.00770032 
30102.50443832  -0.05699632 
30103.50465232  0.05791232 
30104.50486532  -0.07547132 
30105.50507932  -0.01842132 
30106.50333932  0.04541732 
30107.50355232  0.03168532 
30108.50376632  -0.00384032 
30109.50398032  -0.04613232 
30110.50419332  0.03332232 
30111.50440732  0.09809732 
30112.50462032  0.03962132 
30113.50483432  0.07840532 
30114.50504732  0.11008132 
30115.50526132  0.02432632 
30116.50547432  0.00703832 
30117.50568832  0.05909432 
30118.50590132  0.09025732 
30119.50611532  0.08607332 
30120.50632832  0.08001932 
30121.50458832  0.02309932 
30122.50480232  -0.01444932 
30123.50501532  0.03350332 
30124.50522932  0.04019832 
30125.50544232  0.07697932 
30126.50565632  -0.02158132 
30127.50586932  0.06343432 
30128.50608332  0.08867532 
30129.50629732  -0.03215732 
30130.50651032  0.05334832 
30131.50672432  0.00524232 
30132.50693732  -0.02440732 
30133.50715132  -0.12842532 
30134.50736432  0.01085432 
30135.50757832  -0.00526432 
