Frequency             Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	              (mJy_arcsec^{-2}) 

29901.48691632  0.10583832 
29902.48712932  0.04287032 
29903.48734332  -0.00512632 
29904.48755632  -0.05312232 
29905.48777032  0.02469232 
29906.48798332  -0.04462132 
29907.48819732  -0.10766032 
29908.48841032  -0.09171932 
29909.48862432  -0.07350132 
29910.48883732  0.03591532 
29911.48709732  0.39881232 
29912.48731132  -0.75393832 
29913.48752432  -0.34124632 
29914.48773832  6.01215532 
29915.48795132  3.39912232 
29916.48816532  0.83278932 
29917.48837832  0.53380032 
29918.48859232  0.15886632 
29919.48880632  -0.01756732 
29920.48901932  -0.02654432 
29921.48923332  -0.01052632 
29922.48944632  -0.03035532 
29923.48966032  -0.02828032 
29924.48987332  0.00474632 
29925.49008732  0.01055832 
29926.48834732  0.19508332 
29927.48856032  0.07720532 
29928.48877432  0.04015732 
29929.48898732  0.08353832 
29930.48920132  0.06570932 
29931.48941432  0.08634332 
29932.48962832  0.10697832 
29933.48984132  0.00792832 
29934.49005532  0.12753332 
29935.49026832  -0.06242032 
29936.49048232  -0.04583332 
29937.49069532  -0.06302632 
29938.49090932  0.00169332 
29939.49112332  0.09624432 
29940.49133632  0.01565532 
29941.48959632  -0.10928232 
29942.48981032  -0.00262532 
29943.49002332  -0.07740132 
29944.49023732  -0.02136932 
29945.49045032  -0.09067332 
29946.49066432  -0.01610232 
29947.49087732  -0.11342932 
29948.49109132  -0.05774632 
29949.49130432  -0.10660032 
29950.49151832  -0.02626732 
29951.49173132  -0.04258832 
29952.49194532  -0.04018632 
29953.49215832  0.11017732 
29954.49237232  0.13473032 
29955.49258532  0.87930732 
29956.49084532  0.24977332 
29957.49105932  0.15096132 
29958.49127232  -0.05251432 
29959.49148632  0.02410332 
29960.49169932  0.07367332 
29961.49191332  -0.03633132 
29962.49212732  0.04458832 
29963.49234032  -0.03380432 
29964.49255432  -0.04588732 
29965.49276732  0.05305532 
29966.49298132  0.05791432 
29967.49319432  0.20421432 
29968.49340832  0.22732132 
29969.49362132  0.66394032 
29970.49383532  1.23659032 
29971.49209532  1.23916332 
29972.49230832  1.21029632 
