Frequency       Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	        (mJy_arcsec^{-2}) 

29901.48691632  -0.26477932 
29902.48712932  -0.25829032 
29903.48734332  -0.07568632 
29904.48755632  0.10692532 
29905.48777032  0.00698432 
29906.48798332  0.04664132 
29907.48819732  0.03150532 
29908.48841032  0.04207832 
29909.48862432  0.07546232 
29910.48883732  0.03415332 
29911.48709732  0.03187332 
29912.48731132  -0.29112632 
29913.48752432  -1.20675632 
29914.48773832  -0.80318832 
29915.48795132  -1.16827732 
29916.48816532  -0.11028432 
29917.48837832  0.06262332 
29918.48859232  -0.26083932 
29919.48880632  -0.18424132 
29920.48901932  0.12621532 
29921.48923332  -0.08571032 
29922.48944632  -0.02861632 
29923.48966032  0.03240232 
29924.48987332  0.08716132 
29925.49008732  -0.04300832 
29926.48834732  -0.01538532 
29927.48856032  0.01682832 
29928.48877432  0.03909932 
29929.48898732  0.01623832 
29930.48920132  0.03976532 
29931.48941432  0.00645632 
29932.48962832  -0.02685532 
29933.48984132  0.06061232 
29934.49005532  0.06725132 
29935.49026832  -0.05152932 
29936.49048232  0.01059232 
29937.49069532  0.02908932 
29938.49090932  0.04092432 
29939.49112332  -0.02328132 
29940.49133632  0.09677932 
29941.48959632  -0.17699632 
29942.48981032  -0.14908332 
29943.49002332  -0.02101932 
29944.49023732  0.03257232 
29945.49045032  0.02997332 
29946.49066432  -0.02850132 
29947.49087732  -0.02018732 
29948.49109132  -0.12775732 
29949.49130432  0.01256632 
29950.49151832  -0.01419232 
29951.49173132  0.00407632 
29952.49194532  0.09536832 
29953.49215832  -0.08977432 
29954.49237232  -0.06246832 
29955.49258532  -0.07006632 
29956.49084532  -0.05194532 
29957.49105932  -0.02763632 
29958.49127232  -0.02529832 
29959.49148632  0.06901032 
29960.49169932  -0.04752432 
29961.49191332  -0.03007732 
29962.49212732  -0.03873932 
29963.49234032  0.04705232 
29964.49255432  0.07554532 
29965.49276732  0.05133732 
29966.49298132  0.01343532 
29967.49319432  0.04057932 
29968.49340832  0.45762032 
29969.49362132  1.11014332 
29970.49383532  1.39489232 
29971.49209532  0.73634332 
29972.49230832  0.14168532 
29973.49252232  0.08130232 
29974.49273532  0.02457732 
29975.49294932  0.09444032 
29976.49316232  -0.01031632 
29977.49337632  -0.06930832 
29978.49358932  -0.00195932 
29979.49380332  -0.42935032 
29980.49401632  -0.31562832 
29981.49423032  -0.05209132 
