Frequency       Specific_Flux_Density
# Shifted to 64km/s   #mean in elliptical region shown in Corby et al. (2015), MNRAS
(MHz)	        (mJy_arcsec^{-2}) 

29901.48691632  -0.01693432 
29902.48712932  -0.09392332 
29903.48734332  -0.06092232 
29904.48755632  -0.02792232 
29905.48777032  0.04554432 
29906.48798332  0.01118432 
29907.48819732  -0.06674132 
29908.48841032  -0.08501232 
29909.48862432  -0.04377632 
29910.48883732  -0.02273532 
29911.48709732  -0.15520332 
29912.48731132  -2.32604332 
29913.48752432  -1.10996932 
29914.48773832  -1.30565132 
29915.48795132  -0.24831332 
29916.48816532  0.04006832 
29917.48837832  -0.04252832 
29918.48859232  0.02077032 
29919.48880632  -0.15595032 
29920.48901932  -0.15716732 
29921.48923332  -0.03843232 
29922.48944632  -0.04471232 
29923.48966032  0.01060332 
29924.48987332  0.03188132 
29925.49008732  0.01574032 
29926.48834732  0.10299832 
29927.48856032  -0.00685532 
29928.48877432  -0.05224032 
29929.48898732  0.05028432 
29930.48920132  0.10986932 
29931.48941432  0.08678932 
29932.48962832  0.06370932 
29933.48984132  -0.01628132 
29934.49005532  -0.02213132 
29935.49026832  -0.04176932 
29936.49048232  -0.05460032 
29937.49069532  -0.10611232 
29938.49090932  0.03078832 
29939.49112332  0.06905832 
29940.49133632  -0.00468232 
29941.48959632  -0.01580632 
29942.48981032  0.08750132 
29943.49002332  -0.03639332 
29944.49023732  -0.04083032 
29945.49045032  0.04172732 
29946.49066432  -0.03526732 
29947.49087732  -0.00906132 
29948.49109132  -0.04675932 
29949.49130432  0.09835932 
29950.49151832  -0.08247432 
29951.49173132  -0.09094332 
29952.49194532  -0.10114632 
29953.49215832  0.06327832 
29954.49237232  0.57550632 
29955.49258532  0.55900132 
29956.49084532  0.02309932 
29957.49105932  0.05890032 
29958.49127232  -0.05996932 
29959.49148632  0.05001932 
29960.49169932  -0.06136932 
29961.49191332  -0.02375932 
29962.49212732  0.04559932 
29963.49234032  -0.12581732 
29964.49255432  0.02398432 
29965.49276732  -0.01364832 
29966.49298132  0.03557832 
29967.49319432  0.09435532 
29968.49340832  0.37376932 
29969.49362132  1.09752032 
29970.49383532  1.44579232 
29971.49209532  1.79082232 
29972.49230832  1.34918532 
29973.49252232  0.45676732 
29974.49273532  0.07035532 
29975.49294932  0.02661732 
29976.49316232  0.04696232 
29977.49337632  0.13111032 
29978.49358932  0.33491432 
29979.49380332  0.16111032 
29980.49401632  0.08234332 
29981.49423032  -0.01455332 
29982.49444432  0.10730332 
29983.49465732  0.18309432 
29984.49487132  0.02228532 
29985.49508432  -0.13852632 
29986.49334432  -0.05791132 
29987.49355832  -0.12098732 
29988.49377132  0.02319132 
29989.49398532  -0.04306032 
29990.49419832  -0.02679632 
29991.49441232  0.02789032 
29992.49462532  0.01531932 
29993.49483932  0.05349832 
29994.49505232  0.11165132 
29995.49526632  0.06149332 
29996.49547932  0.01439832 
29997.49569332  0.15488332 
29998.49590632  -0.16006132 
29999.49612032  -9.80996732 
30000.49633332  -9.46901332 
30001.49459332  -16.59488932 
30002.49480732  -5.06822032 
30003.49502032  -0.09337532 
30004.49523432  0.02265732 
30005.49544832  0.02610632 
30006.49566132  -0.41906232 
