sid[0] is nullSpecies:Chemical Name:Freq-GHz:Resolved<br>QNs:Lovas/AST<br>Intensity:Linelist
CH3OCH3:Dimethyl ether:35.5934:4(1,3)-4(0,4)EE::SLAIM
CH3OCH3:Dimethyl ether:35.59439:4(1,3)-4(0,4)AA::SLAIM
t-CH2CHCHO:Propenal:35.606409:4(2,3)-3(2,2)::SLAIM
CH3OCHOv=0:Methyl Formate:35.68578:12(2,11)-11(3,8)A::JPL
CH3CH2CNv=0:Ethyl Cyanide:35.72221:4(0,4)-3(0,3)::SLAIM
CH3OCHOv=0:Methyl Formate:35.73251:12(2,11)-11(3,8)E::JPL
13CH3CN:Methyl Cyanide:35.732323:2(1)-1(1)::
13CH3CN:Methyl Cyanide:35.733116:2(0)-1(0)::SLAIM
MgNCv=0:Magnesium Isocyanide:35.79331:N=3-2,J=5/2-3/2:0.014:Lovas
l-C5H:2,4-Pentadiynylidyne:35.80681:J=15/2-13/2,&Omega;=1/2,F=8-7,l=f:0.06:Lovas
l-C5H:2,4-Pentadiynylidyne:35.80706:J=15/2-13/2,&Omega;=1/2,F=7-6,l=f:0.05:Lovas
CH3CHO:Acetaldehyde:35.83733:2(1,2)-1(1,0)E::JPL
CH3CHOv=0:Acetaldehyde:35.83733:2(1,2)-1(1,0)E::JPL
CH3OCHOv=0:Methyl Formate:35.8855:4(2,2)-4(1,3)E::JPL
CH3OCHOv=0:Methyl Formate:35.89364:2(1,2)-1(0,1)E::JPL
CH3OCHOv=0:Methyl Formate:35.89384:4(2,2)-4(1,3)A::JPL
CH3OCHOv=0:Methyl Formate:35.8991:2(1,2)-1(0,1)A::JPL
CH3OCHOv=0:Methyl Formate:35.90187:11(2,10)-10(3,7)A::JPL
cis-CH2OHCHOv=0:Glycolaldehyde:35.90332:2(2,0)-2(1,1):2.37656:JPL
CH3OCHOv=0:Methyl Formate:35.93869:11(2,10)-10(3,7)E::JPL
CH3OCHOv=0:Methyl Formate:35.97434:7(2,5)-7(1,6)E::JPL
CH3OCHOv=0:Methyl Formate:35.98767:7(2,5)-7(1,6)A::JPL
SO2v=0:Sulfur dioxide:36.06523:31(7,25)-32(6,26):-5.5912:
HC7Nv=0:2,4,6-Heptatriynenitrile:36.09555:J=32-31:0.083:Lovas
CH3OCHOv=0:Methyl Formate:36.10222:3(0,3)-2(0,2)E::JPL
CH3OCH3:Methyl Formate:36.102224:3(0,3)-2(0,2)E::JPL
CH3OCH3:Methyl Formate:36.10479:3(0,3)-2(0,2)A::JPL
CH3OCHOv=0:Methyl Formate:36.10479:3(0,3)-2(0,2)A::JPL
CH3OHvt=0:Methanol:36.16929:4(-1,4)-3(0,3):12.5:Lovas
SO3&Sigma;v=0:Sulfur Monoxide:36.20204:2(3)-2(2):0.4:Lovas
HC13CCN:Cyanoacetylene:36.23795:J=4-3:  b:Lovas
HCC13CN:Cyanoacetylene:36.24144:J=4-3:  b:Lovas
H2COH+:Hydroxymethylium ion:36.29995:1(1,1)-2(0,2):-0.123:Lovas
SiSv=0:Silicon monosulfide  :36.30963:2-1:0.5:Lovas
SO2v=0:Sulfur dioxide:36.33805:30(5,25)-29(6,24):-5.4759:
HC3N:Cyanoacetylene:36.39232:J=4-3:0.8:Lovas
t-CH3CH2OH:trans-Ethanol:36.417244:5(1,4)-5(0,5)::JPL
UnidentifiedTransition:UNIDENTIFIED:36.4181:U-36418.1:0.023:Lovas
CH3OCHOv=0:Methyl Formate:36.44481:11(3,9)-10(4,6)A::JPL
CH3OCHOv=0:Methyl Formate:36.45022:11(3,9)-10(4,6)E::JPL
HC3Nv6=1:Cyanoacetylene:36.45197:J=4-3,l=1e: 0.8f:Lovas
CH3OCHOv=0:Methyl Formate:36.47565:3(2,2)-2(2,0)E::JPL
HC3Nv6=1:Cyanoacetylene:36.48067:J=4-3,l=1f:  b:Lovas
HC3Nv7=1:Cyanoacetylene:36.4818:J=4-3,l=1e: 3.2bf:Lovas
OCSv=0:Carbonyl Sulfide:36.48881:3-2:0.06:Lovas
CH3OCHOv=0:Methyl Formate:36.51866:10(3,7)-9(4,6)A::JPL
HC3Nv7=1:Cyanoacetylene:36.5341:J=4-3,l=1f: 2.4f:Lovas
CH3OCHOv=0:Methyl Formate:36.56083:10(3,7)-9(4,6)E::JPL
HC3Nv6=1,v7=1:Cyanoacetylene:36.58192:J=4-3,l=0+:  b:Lovas
HC3Nv6=1,v7=1:Cyanoacetylene:36.58215:J=4-3,l=0-:  b:Lovas
HC3Nv6=1,v7=1:Cyanoacetylene:36.58353:J=4-3,l=2-:  b:Lovas
HC3Nv6=1,v7=1:Cyanoacetylene:36.58354:J=4-3,l=2+: 0.6bf:Lovas
HC3Nv7=2:Cyanoacetylene:36.6232:J=4-3,l=2e:  b:Lovas
HC3Nv7=2:Cyanoacetylene:36.62335:J=4-3,l=2f:  b:Lovas
HC3Nv7=2:Cyanoacetylene:36.62343:J=4-3,l=0: 1.6bf:Lovas
CH3C4H:Methyl diacetylene:36.64281:9(1)-8(1):0.06:Lovas
CH3C4H:Methyl diacetylene:36.64317:9(0)-8(0):0.08:Lovas
CH3OCHOv=0:Methyl Formate:36.65747:3(2,2)-2(2,1)A::JPL
CH3OCHOv=0:Methyl Formate:36.67861:3(2,2)-2(2,1)E::JPL
CH3CH2CNv=0:Ethyl Cyanide:36.73967:4(1,3)-3(1,2)::CDMS
CH313CN:Methyl Cyanide:36.7768335:2(1)-1(1)::JPL
CH313CN:Methyl Cyanide:36.77728:2(0)-1(0)::
CH3CNv=0:Methyl Cyanide:36.793709:2(1)-1(1)::
CH3CNv=0:Methyl Cyanide:36.79547:2(0)-1(0):0.13:Lovas
CH3OCHOv=0:Methyl Formate:36.92785:6(1,5)-6(0,6)E::JPL
Z-CH3CHNH:Ethanimine:36.930703:2(0,2)-1(0,1) E::
Z-CH3CHNH:Ethanimine:36.932722:2(0,2)-1(0,1) A::
CH3OCHOv=0:Methyl Formate:36.94931:6(1,5)-6(0,6)A::JPL
CH2CHCNv=0:Vinyl Cyanide:37.01892:4(1,4)-3(1,3):0.05:Lovas
CH3OCHOv=0:Methyl Formate:37.18212:3(2,1)-2(2,0)E::JPL
CH3OCHOv=0:Methyl Formate:37.20962:3(2,1)-2(2,0)A::JPL
HC7Nv=0:2,4,6-Heptatriynenitrile:37.2235:J=33-32:0.092:Lovas
CH3OCH3:Dimethyl ether:37.26121:8(1,8)-7(2,5)AA::SLAIM
CH3OCH3:Dimethyl ether:37.26385:8(1,8)-7(2,5)EE::SLAIM
CH3OCH3:Dimethyl ether:37.26648:8(1,8)-7(2,5)EA::SLAIM
CH3OCH3:Dimethyl ether:37.26649:8(1,8)-7(2,5)AE::SLAIM
HC5Nv=0:Cyanobutadiyne:37.27699:J=14-13:2.09:Lovas
HCCCHO:2-Propynal:37.29015:4(0,4)-3(0,3):0.043:Lovas
